Word,Link,ID
21 twenty one,https://www.youtube.com/watch?v=6wXGUZtHp5w,6wXGUZtHp5w
30 thirty,https://www.youtube.com/watch?v=LOJcAGPKq50,LOJcAGPKq50
tabla,https://www.youtube.com/watch?v=esXJDDt2w7s,esXJDDt2w7s
table tennis,https://www.youtube.com/watch?v=-pH80nLq8FY,-pH80nLq8FY
"table, desk",https://www.youtube.com/watch?v=YQflbkaOx2g,YQflbkaOx2g
tailor (sign 1),https://www.youtube.com/watch?v=DDusbrXIyaA,DDusbrXIyaA
3 three,https://www.youtube.com/watch?v=Sh3P9rHIKOM,Sh3P9rHIKOM
"2,000 two thousand",https://www.youtube.com/watch?v=b_TvDsf97GY,b_TvDsf97GY
2 two,https://www.youtube.com/watch?v=MhHOduyqKv4,MhHOduyqKv4
tailor (sign 2),https://www.youtube.com/watch?v=46EMlBxuYAU,46EMlBxuYAU
Taiwan,https://www.youtube.com/watch?v=UNNkbxYzexA,UNNkbxYzexA
Taj Hotel,https://www.youtube.com/watch?v=DD9K1ojKj_k,DD9K1ojKj_k
Taj Mahal,https://www.youtube.com/watch?v=lL9bFfJ9t9E,lL9bFfJ9t9E
take a bath,https://www.youtube.com/watch?v=Ah8zB8BQYek,Ah8zB8BQYek
take a long time at something (example),https://www.youtube.com/watch?v=KmyrsfHCcPI,KmyrsfHCcPI
"take a long time at something, take hours at something",https://www.youtube.com/watch?v=q0NQtFrQljs,q0NQtFrQljs
take a photo,https://www.youtube.com/watch?v=_erfAmrdyIM,_erfAmrdyIM
take,https://www.youtube.com/watch?v=Cw13fIyVSNA,Cw13fIyVSNA
"talk, chat",https://www.youtube.com/watch?v=vYPkgKmRa6k,vYPkgKmRa6k
tall sign 1,https://www.youtube.com/watch?v=63LBwsyLl5s,63LBwsyLl5s
tall (sign 2),https://www.youtube.com/watch?v=BvOKe8KiGPU,BvOKe8KiGPU
tall (sign 3),https://www.youtube.com/watch?v=QF_QXmNelLk,QF_QXmNelLk
tall (sign 4),https://www.youtube.com/watch?v=fJyBgRTcBhA,fJyBgRTcBhA
Tamil (sign 1),https://www.youtube.com/watch?v=HCLav_Tthvk,HCLav_Tthvk
Tamil (sign 2),https://www.youtube.com/watch?v=wMlY1TQZA2A,wMlY1TQZA2A
Tamil Nadu,https://www.youtube.com/watch?v=hD6EdyqWw0c,hD6EdyqWw0c
Tanzania,https://www.youtube.com/watch?v=ejX8KhT7JRY,ejX8KhT7JRY
"tap, call",https://www.youtube.com/watch?v=1Mh8DMTca88,1Mh8DMTca88
tap,https://www.youtube.com/watch?v=IGR8WsvfoXs,IGR8WsvfoXs
tape,https://www.youtube.com/watch?v=tq85NQ0vOkA,tq85NQ0vOkA
taste,https://www.youtube.com/watch?v=p_jV4LqTBws,p_jV4LqTBws
TATA Car,https://www.youtube.com/watch?v=qTKpCqiDQZI,qTKpCqiDQZI
TATA Mobile,https://www.youtube.com/watch?v=816BojVf1nk,816BojVf1nk
"tattoo, inked",https://www.youtube.com/watch?v=Srl_Gk0vjLE,Srl_Gk0vjLE
"1,000 thousand",https://www.youtube.com/watch?v=RGDTXsCvZBQ,RGDTXsCvZBQ
vote,https://www.youtube.com/watch?v=eDr6D34kmcU,eDr6D34kmcU
volleyball,https://www.youtube.com/watch?v=gjpsKc4rYEM,gjpsKc4rYEM
volume,https://www.youtube.com/watch?v=tkO1_qURjXM,tkO1_qURjXM
Volkswagen (sign 2),https://www.youtube.com/watch?v=1iqG_Rkp7f0,1iqG_Rkp7f0
melt (candle) (sign 1),https://www.youtube.com/watch?v=ObwZnI075E8,ObwZnI075E8
meditate,https://www.youtube.com/watch?v=0msmxYxchSc,0msmxYxchSc
voice,https://www.youtube.com/watch?v=tm_qJX6hHFg,tm_qJX6hHFg
volcano (sign 1),https://www.youtube.com/watch?v=bh3kxVL3EWA,bh3kxVL3EWA
volcano (sign 2),https://www.youtube.com/watch?v=qriQ0SvqUq0,qriQ0SvqUq0
Volkswagen (sign 1),https://www.youtube.com/watch?v=_5ISkq46e4U,_5ISkq46e4U
Mali,https://www.youtube.com/watch?v=IioAwnwu91s,IioAwnwu91s
"many, numerous",https://www.youtube.com/watch?v=pHgHQOTWz-U,pHgHQOTWz-U
mean (sign 2),https://www.youtube.com/watch?v=2lPUKkvlZvE,2lPUKkvlZvE
man,https://www.youtube.com/watch?v=VRhdtFEOlXs,VRhdtFEOlXs
Manipur (sign 3),https://www.youtube.com/watch?v=2cCGTlNYZCQ,2cCGTlNYZCQ
mango,https://www.youtube.com/watch?v=JC80hJOObmg,JC80hJOObmg
method,https://www.youtube.com/watch?v=07jCt4FqQxY,07jCt4FqQxY
mean (sign 1),https://www.youtube.com/watch?v=I5IcpZp0BfE,I5IcpZp0BfE
marigold,https://www.youtube.com/watch?v=L8RxN_IwuxU,L8RxN_IwuxU
measuring tape,https://www.youtube.com/watch?v=46tD7Du6BNs,46tD7Du6BNs
message (sign 1),https://www.youtube.com/watch?v=JtykP_hFReg,JtykP_hFReg
Meghalaya (sign 1),https://www.youtube.com/watch?v=2QrMULTorPY,2QrMULTorPY
melt (candle) (sign 2),https://www.youtube.com/watch?v=kZneFf1ONo8,kZneFf1ONo8
"manage, administer, handle, operate, supervise",https://www.youtube.com/watch?v=siXvRrMuC0s,siXvRrMuC0s
meeting (sign 1),https://www.youtube.com/watch?v=Ohcc1XNi-s4,Ohcc1XNi-s4
Maruti car,https://www.youtube.com/watch?v=MiGluii6UII,MiGluii6UII
magic,https://www.youtube.com/watch?v=i5FfdjLi5IQ,i5FfdjLi5IQ
maybe,https://www.youtube.com/watch?v=3vXJ605MFbU,3vXJ605MFbU
meeting (sign 2),https://www.youtube.com/watch?v=N0lQZi87koY,N0lQZi87koY
Malaysia,https://www.youtube.com/watch?v=N05i2V0_8kI,N05i2V0_8kI
mechanic (sign 2),https://www.youtube.com/watch?v=CELYbb3X9fk,CELYbb3X9fk
vodka (sign 2),https://www.youtube.com/watch?v=5WFDWbMDynQ,5WFDWbMDynQ
vodka (sign 1),https://www.youtube.com/watch?v=hCyqeJeKGyI,hCyqeJeKGyI
Vishnu,https://www.youtube.com/watch?v=E5mWb7nGYmQ,E5mWb7nGYmQ
vision (sign 1),https://www.youtube.com/watch?v=R6KdIjSPkvo,R6KdIjSPkvo
vision (sign 2),https://www.youtube.com/watch?v=0hhs7A5uf3E,0hhs7A5uf3E
visual,https://www.youtube.com/watch?v=sPqivRKBiNc,sPqivRKBiNc
Vivekananda Rock Memorial,https://www.youtube.com/watch?v=XzRvTWXXufk,XzRvTWXXufk
vocabulary,https://www.youtube.com/watch?v=df3ewqju9L8,df3ewqju9L8
Vodafone,https://www.youtube.com/watch?v=CHt94rpZVOI,CHt94rpZVOI
vocation,https://www.youtube.com/watch?v=GyhrF2L7s74,GyhrF2L7s74
Malayalam,https://www.youtube.com/watch?v=__Rz2PaTB1c,__Rz2PaTB1c
visa (sign 2),https://www.youtube.com/watch?v=6Jc3GEN51ks,6Jc3GEN51ks
virus (sign 1),https://www.youtube.com/watch?v=8m3p1BEhCUw,8m3p1BEhCUw
visa (sign 1),https://www.youtube.com/watch?v=Yympd7Zsia4,Yympd7Zsia4
virus (sign 2),https://www.youtube.com/watch?v=XjXXmj-9kFE,XjXXmj-9kFE
mechanic (sign 3),https://www.youtube.com/watch?v=8Tsv4klWWuY,8Tsv4klWWuY
medal,https://www.youtube.com/watch?v=Jd3to2MXy6s,Jd3to2MXy6s
make (sign 2),https://www.youtube.com/watch?v=o_Dvm4U4sLo,o_Dvm4U4sLo
menu,https://www.youtube.com/watch?v=w2bUy2rPYPI,w2bUy2rPYPI
"menstruation, menses, menstrual cycle, periods",https://www.youtube.com/watch?v=4ILXbXTUUp4,4ILXbXTUUp4
Virat Kohli,https://www.youtube.com/watch?v=EqGyUaKwRjg,EqGyUaKwRjg
violin,https://www.youtube.com/watch?v=onsdyXAWNqY,onsdyXAWNqY
Vietnam (sign 1),https://www.youtube.com/watch?v=1dzqHHOtvXI,1dzqHHOtvXI
Vietnam (sign 2),https://www.youtube.com/watch?v=u0VMIS7wC-Q,u0VMIS7wC-Q
"view, perspective (sign 1)",https://www.youtube.com/watch?v=Lkztp3ZDShA,Lkztp3ZDShA
"view, perspective (sign 2)",https://www.youtube.com/watch?v=UgR3sxHLsDg,UgR3sxHLsDg
"view, scene",https://www.youtube.com/watch?v=77A4jL_zT1I,77A4jL_zT1I
village (sign 1),https://www.youtube.com/watch?v=sTrWqNmE5HA,sTrWqNmE5HA
village (sign 2),https://www.youtube.com/watch?v=U-dEobzY4o4,U-dEobzY4o4
"male, masculine",https://www.youtube.com/watch?v=YIns3vxfhnk,YIns3vxfhnk
May,https://www.youtube.com/watch?v=XwQxJ5FXoQ8,XwQxJ5FXoQ8
mature,https://www.youtube.com/watch?v=0Xhmme0IrvU,0Xhmme0IrvU
Mahendra Singh Dhoni,https://www.youtube.com/watch?v=NEm3d_l7G58,NEm3d_l7G58
make a long story short (meaning),https://www.youtube.com/watch?v=HnmjmqSfmPs,HnmjmqSfmPs
maths,https://www.youtube.com/watch?v=B4_sWGyQgrA,B4_sWGyQgrA
message (sign 2),https://www.youtube.com/watch?v=b-Oi5Oa5TIA,b-Oi5Oa5TIA
make a long story short (sign 2),https://www.youtube.com/watch?v=5ye1yjh3Z20,5ye1yjh3Z20
Malawi,https://www.youtube.com/watch?v=yTmK54y80bs,yTmK54y80bs
measure,https://www.youtube.com/watch?v=wPTa0UQJY_w,wPTa0UQJY_w
meet,https://www.youtube.com/watch?v=922S3GXI7eI,922S3GXI7eI
melt (ice),https://www.youtube.com/watch?v=fCJA3uu02WA,fCJA3uu02WA
Meghalaya (sign 2),https://www.youtube.com/watch?v=GXpfHLOLU_4,GXpfHLOLU_4
make (sign 1),https://www.youtube.com/watch?v=pi57mKwYBNQ,pi57mKwYBNQ
make a long story short (sign 1),https://www.youtube.com/watch?v=pFwwq-q_VTk,pFwwq-q_VTk
meat (sign 1),https://www.youtube.com/watch?v=sjpdu42KxwI,sjpdu42KxwI
videographer (sign 2),https://www.youtube.com/watch?v=NZXhDTubUiI,NZXhDTubUiI
Vidyasagar Setu,https://www.youtube.com/watch?v=jWuOEGUh5v8,jWuOEGUh5v8
video relay service (VRS),https://www.youtube.com/watch?v=2CbOSGxS80s,2CbOSGxS80s
video (sign 2),https://www.youtube.com/watch?v=Iub1Yb-tOAI,Iub1Yb-tOAI
video (sign 1),https://www.youtube.com/watch?v=cW1Vl1AqGzI,cW1Vl1AqGzI
"victory, success, triumph (sign 2)",https://www.youtube.com/watch?v=r_xF77i3RGw,r_xF77i3RGw
"victory, success, triumph (sign 1)",https://www.youtube.com/watch?v=Zr3LQ0FwcUM,Zr3LQ0FwcUM
vice president,https://www.youtube.com/watch?v=sErgS9d1UdM,sErgS9d1UdM
veterinarian,https://www.youtube.com/watch?v=VH9BKxQgE4I,VH9BKxQgE4I
Vaishno Devi,https://www.youtube.com/watch?v=AygZ8ATgf_c,AygZ8ATgf_c
valley,https://www.youtube.com/watch?v=K3pj5alsYHc,K3pj5alsYHc
"value, worth, merit (positive)",https://www.youtube.com/watch?v=3xKJDf869EY,3xKJDf869EY
Varanasi,https://www.youtube.com/watch?v=HtG9j-D3n8c,HtG9j-D3n8c
"variety, diversity",https://www.youtube.com/watch?v=L1m5VhGiv_g,L1m5VhGiv_g
vegetables,https://www.youtube.com/watch?v=8WAJ_vejYOo,8WAJ_vejYOo
vehicle,https://www.youtube.com/watch?v=uIJEGc6U5iU,uIJEGc6U5iU
Venezuela,https://www.youtube.com/watch?v=Q-S63Q62ZiU,Q-S63Q62ZiU
verb,https://www.youtube.com/watch?v=GOwke9T4QOU,GOwke9T4QOU
very hot (sign 1),https://www.youtube.com/watch?v=Ky8LfzgWGDU,Ky8LfzgWGDU
very hot (sign 2),https://www.youtube.com/watch?v=RwdFk6p7tyo,RwdFk6p7tyo
"very wealthy person, magnate, tycoon",https://www.youtube.com/watch?v=ILv9XMPLqoo,ILv9XMPLqoo
very,https://www.youtube.com/watch?v=nweVa6JYyYw,nweVa6JYyYw
vessel,https://www.youtube.com/watch?v=VV3za4vmTTs,VV3za4vmTTs
valley (meaning),https://www.youtube.com/watch?v=DfokHjizYRY,DfokHjizYRY
Vadodara,https://www.youtube.com/watch?v=dQd7vQzxfJE,dQd7vQzxfJE
"vacation, holidays",https://www.youtube.com/watch?v=7BK0J1hZ7_Q,7BK0J1hZ7_Q
Urdu,https://www.youtube.com/watch?v=WxIEetxTkzk,WxIEetxTkzk
Uruguay,https://www.youtube.com/watch?v=qCoHkpGP5CA,qCoHkpGP5CA
Uttar Pradesh,https://www.youtube.com/watch?v=MmrdlTXfNco,MmrdlTXfNco
Uzbekistan,https://www.youtube.com/watch?v=3X7DZIiH2ZQ,3X7DZIiH2ZQ
Uttarakhand,https://www.youtube.com/watch?v=T--ANw8Oxkk,T--ANw8Oxkk
"upset, disturbed",https://www.youtube.com/watch?v=9sK2PFaxoHw,9sK2PFaxoHw
up,https://www.youtube.com/watch?v=rn4NJPtL1m8,rn4NJPtL1m8
unofficial,https://www.youtube.com/watch?v=jMT-IXiUqYU,jMT-IXiUqYU
"unlimited, boundless, infinite",https://www.youtube.com/watch?v=XdGYd0-mOy8,XdGYd0-mOy8
university,https://www.youtube.com/watch?v=VYSankCl2f8,VYSankCl2f8
universal design (meaning),https://www.youtube.com/watch?v=j1ggaP_d2cs,j1ggaP_d2cs
United States of America,https://www.youtube.com/watch?v=pvCPTa5YUSQ,pvCPTa5YUSQ
United Nations,https://www.youtube.com/watch?v=-x6DzWY7lmk,-x6DzWY7lmk
United Nations Convention on the Rights of Persons with Disabilities UNCRPD (sign 2),https://www.youtube.com/watch?v=_vlN9I_YSG8,_vlN9I_YSG8
United Nations Convention on the Rights of Persons with Disabilities UNCRPD (sign 1),https://www.youtube.com/watch?v=tEJlKXA7Lkg,tEJlKXA7Lkg
United Kingdom,https://www.youtube.com/watch?v=RhS6nAUP3C4,RhS6nAUP3C4
United Arab Emirates,https://www.youtube.com/watch?v=D9jI_HByl1Q,D9jI_HByl1Q
"unite, unity (sign 2)",https://www.youtube.com/watch?v=5y87G_irytQ,5y87G_irytQ
"unite, unity (sign 1)",https://www.youtube.com/watch?v=Ni3iHE6bas8,Ni3iHE6bas8
"understand, comprehend",https://www.youtube.com/watch?v=ZzpQw5V7gD0,ZzpQw5V7gD0
"understand, comprehend, grasp (sign 2)",https://www.youtube.com/watch?v=TmsgikIaXu4,TmsgikIaXu4
"understand, comprehend, grasp (sign 1)",https://www.youtube.com/watch?v=dPSB-HxRET4,dPSB-HxRET4
umpire (cricket),https://www.youtube.com/watch?v=Cqtgx6BSkRk,Cqtgx6BSkRk
unemployed,https://www.youtube.com/watch?v=qMD3sfogugU,qMD3sfogugU
uncomfortable,https://www.youtube.com/watch?v=G2Lhs-1HRys,G2Lhs-1HRys
Under the weather,https://www.youtube.com/watch?v=aIJKbhWx3So,aIJKbhWx3So
uncle,https://www.youtube.com/watch?v=-7IkPH6iIQA,-7IkPH6iIQA
umbrella (sign 2),https://www.youtube.com/watch?v=ZThUGVQhL08,ZThUGVQhL08
umbrella (sign 1),https://www.youtube.com/watch?v=1xTATM3v8k4,1xTATM3v8k4
Umaid Bhawan Palace,https://www.youtube.com/watch?v=j-qHEAz6J6A,j-qHEAz6J6A
Ukraine,https://www.youtube.com/watch?v=mLANykny44w,mLANykny44w
Uganda,https://www.youtube.com/watch?v=3lMNHGXNQ3Q,3lMNHGXNQ3Q
"wrong, incorrect",https://www.youtube.com/watch?v=n0NXSLz7Skk,n0NXSLz7Skk
"writer, author",https://www.youtube.com/watch?v=8arkJfd_jyQ,8arkJfd_jyQ
write,https://www.youtube.com/watch?v=UFePdoNR_KM,UFePdoNR_KM
wrestling (sign 2),https://www.youtube.com/watch?v=Z_aF7Dndg5o,Z_aF7Dndg5o
wrestling (sign 1),https://www.youtube.com/watch?v=dWeSkZ2K4TA,dWeSkZ2K4TA
World Federation of the Deaf Youth Section (WFDYS),https://www.youtube.com/watch?v=0zTZkTkBAoU,0zTZkTkBAoU
worry,https://www.youtube.com/watch?v=wMm24t1NrcM,wMm24t1NrcM
wound,https://www.youtube.com/watch?v=5buFHMBPDy4,5buFHMBPDy4
World Federation of the Deaf (WFD),https://www.youtube.com/watch?v=Y1qTt6mL5ck,Y1qTt6mL5ck
World Federation of the Deaf (WFD),https://www.youtube.com/watch?v=Y1qTt6mL5ck,Y1qTt6mL5ck
World Association of Sign Language Interpreters (WASLI),https://www.youtube.com/watch?v=9bU0eltCrYQ,9bU0eltCrYQ
workshop,https://www.youtube.com/watch?v=tKmXdtC6FLA,tKmXdtC6FLA
work sign 3,https://www.youtube.com/watch?v=FlZ8Xekr-JA,FlZ8Xekr-JA
Mahavir Jayanti (sign 1),https://www.youtube.com/watch?v=0TGJCFJv2iU,0TGJCFJv2iU
Maha Shivaratri (sign 1),https://www.youtube.com/watch?v=qoGtYKREfLY,qoGtYKREfLY
Maharashtra,https://www.youtube.com/watch?v=DTWS5Oy3kcY,DTWS5Oy3kcY
Madhya Pradesh,https://www.youtube.com/watch?v=YMuk_8H4EWM,YMuk_8H4EWM
Mahatma Gandhi,https://www.youtube.com/watch?v=x-lubm0ha08,x-lubm0ha08
magician (sign 2),https://www.youtube.com/watch?v=3ncXcBiwveA,3ncXcBiwveA
Maha Shivaratri (sign 2),https://www.youtube.com/watch?v=OQ1e6lpNybo,OQ1e6lpNybo
magician (sign 1),https://www.youtube.com/watch?v=AJenZvPmsXY,AJenZvPmsXY
Macau,https://www.youtube.com/watch?v=eGXitOKnND8,eGXitOKnND8
Maha Shivaratri (sign 3),https://www.youtube.com/watch?v=cj4nM0IFGYQ,cj4nM0IFGYQ
Madagascar,https://www.youtube.com/watch?v=Vc81XotPSFs,Vc81XotPSFs
magnet,https://www.youtube.com/watch?v=VLeir-T0xmU,VLeir-T0xmU
lunch,https://www.youtube.com/watch?v=1vpIZUFKZpQ,1vpIZUFKZpQ
luck (sign 1),https://www.youtube.com/watch?v=RwIFUiFGMGw,RwIFUiFGMGw
Lotus Temple,https://www.youtube.com/watch?v=S_Dj4XBbbzM,S_Dj4XBbbzM
inauguration (sign 2),https://www.youtube.com/watch?v=2LLe-kRAu0o,2LLe-kRAu0o
idea (sign 2),https://www.youtube.com/watch?v=xMvpodrz6dM,xMvpodrz6dM
identity,https://www.youtube.com/watch?v=uE8YfF7bTGM,uE8YfF7bTGM
"illegal, unlawful (sign 1)",https://www.youtube.com/watch?v=XeV_Qqks978,XeV_Qqks978
"immediate, instant, swift",https://www.youtube.com/watch?v=gG-xmfo-y3A,gG-xmfo-y3A
ice hockey,https://www.youtube.com/watch?v=oUcoHPxXsbA,oUcoHPxXsbA
"I, me",https://www.youtube.com/watch?v=1f6OchgCQrE,1f6OchgCQrE
increase (sign 3),https://www.youtube.com/watch?v=kZnl4XgNVgU,kZnl4XgNVgU
in,https://www.youtube.com/watch?v=BLazXqvPnKk,BLazXqvPnKk
increase (sign 1),https://www.youtube.com/watch?v=k9C_uq11Ja0,k9C_uq11Ja0
"increase, augment",https://www.youtube.com/watch?v=-NXGOOSb2sk,-NXGOOSb2sk
inch,https://www.youtube.com/watch?v=zzsrMEMxAUU,zzsrMEMxAUU
increase (sign 2),https://www.youtube.com/watch?v=RUKgTVVuVcg,RUKgTVVuVcg
independent,https://www.youtube.com/watch?v=upaDJQnr9nw,upaDJQnr9nw
Indian Sign Language Research and Training Centre (ISLRTC),https://www.youtube.com/watch?v=5Z_Rm0W-HgE,5Z_Rm0W-HgE
"infinite, immeasurable, limitless",https://www.youtube.com/watch?v=e8r0Tt42W7Q,e8r0Tt42W7Q
India sign 4,https://www.youtube.com/watch?v=7kEbmn2BWIA,7kEbmn2BWIA
Indigo,https://www.youtube.com/watch?v=2MvrW4Vw7ZU,2MvrW4Vw7ZU
individual,https://www.youtube.com/watch?v=5zBLuemgyH8,5zBLuemgyH8
Indian Sign Language Interpreters Association (ISLIA),https://www.youtube.com/watch?v=DPFh6Vtj8nY,DPFh6Vtj8nY
Indira Gandhi,https://www.youtube.com/watch?v=gvFkCJni120,gvFkCJni120
Indian Sign Language ISL sign 2,https://www.youtube.com/watch?v=1yVn9e5zDKU,1yVn9e5zDKU
Indian Sign Language ISL sign 1,https://www.youtube.com/watch?v=tq8jQqoHYFA,tq8jQqoHYFA
"influence, affect",https://www.youtube.com/watch?v=ueiJkNzXxzw,ueiJkNzXxzw
India sign 5,https://www.youtube.com/watch?v=gOHt4silLhA,gOHt4silLhA
"inform, apprise, notify (sign 1)",https://www.youtube.com/watch?v=H4pn0Iqrg8A,H4pn0Iqrg8A
"initiative, drive (sign 2)",https://www.youtube.com/watch?v=ELCvZrWheyk,ELCvZrWheyk
"inform, apprise, notify (sign 2)",https://www.youtube.com/watch?v=J4G3ltp807A,J4G3ltp807A
"initiative, drive (sign 1)",https://www.youtube.com/watch?v=oqq2I0ePK3Y,oqq2I0ePK3Y
insect (sign 2),https://www.youtube.com/watch?v=yB2sJTE2Mek,yB2sJTE2Mek
injury,https://www.youtube.com/watch?v=xSAoWBeLvfo,xSAoWBeLvfo
Instagram (sign 1),https://www.youtube.com/watch?v=GXhOBQRBsb4,GXhOBQRBsb4
innovate,https://www.youtube.com/watch?v=XhewfEcC070,XhewfEcC070
Iraq,https://www.youtube.com/watch?v=_g40sO4Upvg,_g40sO4Upvg
"invite, welcome",https://www.youtube.com/watch?v=P8c9TRiU7HI,P8c9TRiU7HI
iron (metal) (sign 1),https://www.youtube.com/watch?v=r607N-5gkHs,r607N-5gkHs
It's a piece of cake,https://www.youtube.com/watch?v=AilePB-_EKE,AilePB-_EKE
"invent, create",https://www.youtube.com/watch?v=OB6FvmCHsDg,OB6FvmCHsDg
Ireland,https://www.youtube.com/watch?v=yYf_JyfDvLU,yYf_JyfDvLU
iron (metal) (sign 2),https://www.youtube.com/watch?v=sfpvbKAz4Oo,sfpvbKAz4Oo
Iran,https://www.youtube.com/watch?v=p2tLsgPiaWw,p2tLsgPiaWw
"Islam, Muslim (sign 2)",https://www.youtube.com/watch?v=SB50UhgrFMY,SB50UhgrFMY
"intelligence, knowledge",https://www.youtube.com/watch?v=lV1k10LuRGk,lV1k10LuRGk
Instagram (sign 2),https://www.youtube.com/watch?v=lQyrTnOO4XE,lQyrTnOO4XE
lift (sign 1),https://www.youtube.com/watch?v=fGyKwTrS88U,fGyKwTrS88U
long jump (sign 1),https://www.youtube.com/watch?v=ZaBfhzfL_II,ZaBfhzfL_II
light (electricity),https://www.youtube.com/watch?v=Pq-OLkv13Bw,Pq-OLkv13Bw
limit,https://www.youtube.com/watch?v=8biyNZmIKsk,8biyNZmIKsk
livelihood (sign 1),https://www.youtube.com/watch?v=rbu6XJFG-uI,rbu6XJFG-uI
"lifelong, long term",https://www.youtube.com/watch?v=OSRpGh3d0cI,OSRpGh3d0cI
light (less weight),https://www.youtube.com/watch?v=i_zyHcuPs6s,i_zyHcuPs6s
library,https://www.youtube.com/watch?v=v3hY00Fy7rE,v3hY00Fy7rE
lift (sign 3),https://www.youtube.com/watch?v=nWsRyI0iqEQ,nWsRyI0iqEQ
like,https://www.youtube.com/watch?v=T9eBnmIRtqg,T9eBnmIRtqg
local train,https://www.youtube.com/watch?v=WKgIi8YdHtI,WKgIi8YdHtI
"less, few",https://www.youtube.com/watch?v=F9JOa0fXPI4,F9JOa0fXPI4
LG Mobile,https://www.youtube.com/watch?v=EvwF_HCmPxY,EvwF_HCmPxY
list (sign 2),https://www.youtube.com/watch?v=4BNqHj-lQaE,4BNqHj-lQaE
lift (sign 2),https://www.youtube.com/watch?v=nkox-ajvLnc,nkox-ajvLnc
livelihood (sign 2),https://www.youtube.com/watch?v=MFWHZG1Xnr4,MFWHZG1Xnr4
litre,https://www.youtube.com/watch?v=HnydoJ4McR8,HnydoJ4McR8
license (sign 2),https://www.youtube.com/watch?v=x-uAyPToZMs,x-uAyPToZMs
life jacket (meaning),https://www.youtube.com/watch?v=wKDAEDyBAY0,wKDAEDyBAY0
Libya,https://www.youtube.com/watch?v=Zb_TG66NcQM,Zb_TG66NcQM
letter,https://www.youtube.com/watch?v=71MQl0F0_No,71MQl0F0_No
long jump (sign 2),https://www.youtube.com/watch?v=oEegSY9O_AI,oEegSY9O_AI
"list, points (sign 3)",https://www.youtube.com/watch?v=LH_-eRo-vYw,LH_-eRo-vYw
